namePlayer,season_start,slugSeason,slugTeam,idTeam,isRookie,numberPlayerSeason,idPlayer,slugSeasonType,gp,gs,fgmTotals,fgaTotals,pctFG,fg3mTotals,fg3aTotals,pctFG3,pctFT,fg2mTotals,fg2aTotals,pctFG2,agePlayer,minutesTotals,ftmTotals,ftaTotals,orebTotals,drebTotals,trebTotals,astTotals,stlTotals,blkTotals,tovTotals,pfTotals,ptsTotals,career_pts,career_rbs,career_asts,career_2pfga,career_2pfgm,career_3pfga,career_3pfgm,career_fga,career_fgm,career_fta,career_ftm,career_mins,cg,olympic_year,season_pts,season_rbs,season_asts,season_2p_pct,season_3p_pct,season_fg_pct,season_ftr,season_mpg,career_2p_pct,career_3p_pct,career_fg_pct,career_ftr,career_mpg,pts,rbs,asts,fg_2,fg_3,fg,ftr,mpg,olympic_team,above_avg_stats,above_avg_season
Allen Iverson,2004,2004-05,PHI,1610612755,FALSE,8,947,RS,75,75,771,1818,0.424,104,338,0.307692307692308,0.835,667,1480,0.450675675675676,30,3173,656,786,51,248,299,596,180,9,344,140,2302,26.6608315098468,3.71334792122538,6.15317286652079,16523,7408,3383,1059,19906,8467,8168,6375,37576,914,1,30.6933333333333,3.98666666666667,7.94666666666667,0.450675675675676,0.307692307692308,0.424092409240924,0.432343234323432,42.3066666666667,0.448344731586274,0.313035767070647,0.425349140962524,0.41032854415754,41.1115973741794,1,1,1,1,0,0,1,1,2004,6,1
Amar'e Stoudemire,2004,2004-05,PHX,1610612756,FALSE,2,2405,RS,80,80,747,1336,0.559,3,16,0.1875,0.733,744,1320,0.563636363636364,22,2886,583,795,219,494,713,131,77,130,189,278,2080,18.9054373522459,7.83924349881797,1.24113475177305,10882,5881,127,30,11009,5911,5444,4142,26252,846,1,26,8.9125,1.6375,0.563636363636364,0.1875,0.559131736526946,0.595059880239521,36.075,0.540433743797096,0.236220472440945,0.536924334635299,0.494504496321192,31.0307328605201,1,1,1,1,0,1,1,1,2004,7,1
Andre Iguodala,2012,2012-13,DEN,1610612743,FALSE,8,2738,RS,80,80,396,879,0.451,91,287,0.317073170731707,0.574,305,592,0.515202702702703,29,2779,155,270,82,341,423,433,139,52,206,127,1038,12.0472370766488,5.06595365418895,4.32174688057041,7459,3869,2990,998,10449,4867,3926,2785,37295,1122,1,12.975,5.2875,5.4125,0.515202702702703,0.317073170731707,0.450511945392491,0.307167235494881,34.7375,0.51870223890602,0.333779264214047,0.465786199636329,0.375729734902862,33.2397504456328,1,1,1,0,0,0,0,1,2012,4,0
Anthony Davis,2012,2012-13,NOH,1610612740,TRUE,0,203076,RS,64,60,349,676,0.516,0,6,0,0.751,349,670,0.52089552238806,20,1846,169,225,165,357,522,63,75,112,89,158,867,24.042226487524,10.4069097888676,2.21497120921305,8254,4415,770,246,9024,4661,3691,2958,17997,521,1,13.546875,8.15625,0.984375,0.52089552238806,0,0.516272189349112,0.332840236686391,28.84375,0.53489217349164,0.31948051948052,0.516511524822695,0.409020390070922,34.5431861804223,0,0,0,0,0,0,0,0,2012,0,0
Carlos Boozer,2004,2004-05,UTA,1610612762,FALSE,2,2430,RS,51,51,361,693,0.521,0,1,0,0.698,361,692,0.521676300578035,23,1774,187,268,141,316,457,144,41,24,137,179,909,16.2322880371661,9.51451800232288,2.23925667828107,11207,5846,14,1,11221,5847,3158,2281,26905,861,1,17.8235294117647,8.96078431372549,2.82352941176471,0.521676300578035,0,0.520923520923521,0.386724386724387,34.7843137254902,0.52163826180066,0.0714285714285714,0.521076552891899,0.281436592104091,31.2485481997677,1,0,1,1,0,0,1,1,2004,5,1
Carlos Boozer,2008,2008-09,UTA,1610612762,FALSE,6,2430,RS,37,37,251,512,0.49,0,0,0,0.698,251,512,0.490234375,27,1197,97,139,111,274,385,79,39,7,79,132,599,16.2322880371661,9.51451800232288,2.23925667828107,11207,5846,14,1,11221,5847,3158,2281,26905,861,1,16.1891891891892,10.4054054054054,2.13513513513514,0.490234375,0,0.490234375,0.271484375,32.3513513513514,0.52163826180066,0.0714285714285714,0.521076552891899,0.281436592104091,31.2485481997677,0,1,0,0,,0,0,1,2008,2,0
Carmelo Anthony,2004,2004-05,DEN,1610612743,FALSE,1,2546,RS,75,75,530,1230,0.431,42,158,0.265822784810127,0.796,488,1072,0.455223880597015,21,2608,456,573,141,285,426,194,68,30,224,229,1558,23.6211849192101,6.50897666068223,2.91202872531418,16921,7992,4119,1434,21040,9426,7424,6028,39751,1114,1,20.7733333333333,5.68,2.58666666666667,0.455223880597015,0.265822784810127,0.430894308943089,0.465853658536585,34.7733333333333,0.472312511080905,0.348142753095412,0.448003802281369,0.352851711026616,35.6831238779174,0,0,0,0,0,0,1,0,2004,1,0
Carmelo Anthony,2008,2008-09,DEN,1610612743,FALSE,5,2546,RS,66,66,535,1207,0.443,63,170,0.370588235294118,0.793,472,1037,0.455159112825458,25,2277,371,468,106,344,450,222,75,24,199,195,1504,23.6211849192101,6.50897666068223,2.91202872531418,16921,7992,4119,1434,21040,9426,7424,6028,39751,1114,1,22.7878787878788,6.81818181818182,3.36363636363636,0.455159112825458,0.370588235294118,0.443247721623861,0.387738193869097,34.5,0.472312511080905,0.348142753095412,0.448003802281369,0.352851711026616,35.6831238779174,0,1,1,0,1,0,1,0,2008,4,0
Carmelo Anthony,2012,2012-13,NYK,1610612752,FALSE,9,2546,RS,67,67,669,1489,0.449,157,414,0.379227053140097,0.83,512,1075,0.476279069767442,29,2482,425,512,134,326,460,171,52,32,175,205,1920,23.6211849192101,6.50897666068223,2.91202872531418,16921,7992,4119,1434,21040,9426,7424,6028,39751,1114,1,28.6567164179105,6.86567164179105,2.55223880597015,0.476279069767442,0.379227053140097,0.449294828744124,0.343854936198791,37.044776119403,0.472312511080905,0.348142753095412,0.448003802281369,0.352851711026616,35.6831238779174,1,1,0,1,1,1,0,1,2012,6,1
Carmelo Anthony,2016,2016-17,NYK,1610612752,FALSE,13,2546,RS,74,74,602,1389,0.433,151,421,0.358669833729216,0.833,451,968,0.465909090909091,33,2538,304,365,62,376,438,213,60,34,153,198,1659,23.6211849192101,6.50897666068223,2.91202872531418,16921,7992,4119,1434,21040,9426,7424,6028,39751,1114,1,22.4189189189189,5.91891891891892,2.87837837837838,0.465909090909091,0.358669833729216,0.433405327573794,0.262778977681785,34.2972972972973,0.472312511080905,0.348142753095412,0.448003802281369,0.352851711026616,35.6831238779174,0,0,0,0,1,0,0,0,2016,1,0
Chris Bosh,2008,2008-09,TOR,1610612761,FALSE,5,2547,RS,77,77,615,1263,0.487,12,49,0.244897959183673,0.817,603,1214,0.49670510708402,25,2928,504,617,215,556,771,191,67,77,174,189,1746,19.2486002239642,8.501679731243,2.01007838745801,11671,5904,910,305,12581,6209,5591,4466,31936,893,1,22.6753246753247,10.012987012987,2.48051948051948,0.49670510708402,0.244897959183673,0.486935866983373,0.488519398258116,38.025974025974,0.505869248564819,0.335164835164835,0.493521977585248,0.444400286145775,35.7625979843225,1,1,1,0,0,0,1,1,2008,5,1
Chris Paul,2008,2008-09,NOH,1610612740,FALSE,3,101108,RS,78,78,631,1255,0.503,64,176,0.363636363636364,0.868,567,1079,0.52548656163114,24,3002,455,524,69,363,432,861,216,10,231,212,1781,18.4708785784798,4.51332675222113,9.48371174728529,10232,5187,3705,1369,13937,6556,4863,4230,35353,1013,1,22.8333333333333,5.53846153846154,11.0384615384615,0.52548656163114,0.363636363636364,0.502788844621514,0.417529880478088,38.4871794871795,0.506939014855356,0.369500674763833,0.470402525651145,0.348927315778145,34.8993089832182,1,1,1,1,0,1,1,1,2008,7,1
Chris Paul,2012,2012-13,LAC,1610612746,FALSE,7,101108,RS,70,70,412,856,0.481,76,232,0.327586206896552,0.885,336,624,0.538461538461538,28,2335,286,323,53,209,262,678,169,10,159,143,1186,18.4708785784798,4.51332675222113,9.48371174728529,10232,5187,3705,1369,13937,6556,4863,4230,35353,1013,1,16.9428571428571,3.74285714285714,9.68571428571429,0.538461538461538,0.327586206896552,0.481308411214953,0.377336448598131,33.3571428571429,0.506939014855356,0.369500674763833,0.470402525651145,0.348927315778145,34.8993089832182,0,0,1,1,0,1,1,0,2012,4,0
DeAndre Jordan,2016,2016-17,LAC,1610612746,FALSE,8,201599,RS,81,81,412,577,0.714,0,2,0,0.482,412,575,0.716521739130435,28,2570,205,425,298,816,1114,96,51,134,115,212,1029,9.48685714285714,10.8011428571429,0.934857142857143,4974,3336,11,1,4985,3337,3431,1626,24325,875,1,12.7037037037037,13.7530864197531,1.18518518518519,0.716521739130435,0,0.714038128249567,0.736568457538995,31.7283950617284,0.670687575392039,0.0909090909090909,0.669408224674022,0.68826479438315,27.8,1,1,1,1,0,1,1,1,2016,7,1
DeMar DeRozan,2016,2016-17,TOR,1610612761,FALSE,7,201942,RS,74,74,721,1545,0.467,33,124,0.266129032258065,0.842,688,1421,0.484166080225194,27,2620,545,647,70,316,386,290,78,13,180,134,2020,20.0282902829028,4.36039360393604,3.55842558425584,11598,5510,1203,340,12801,5850,5119,4243,27766,813,1,27.2972972972973,5.21621621621622,3.91891891891892,0.484166080225194,0.266129032258065,0.466666666666667,0.418770226537217,35.4054054054054,0.475081910674254,0.28262676641729,0.456995547222873,0.399890633544254,34.1525215252153,1,1,1,1,0,1,1,1,2016,7,1
DeMarcus Cousins,2016,2016-17,TOT,0,FALSE,6,202326,RS,72,72,647,1432,0.452,131,363,0.360881542699725,0.772,516,1069,0.482694106641721,26,2465,517,670,152,642,794,332,100,93,269,278,1942,21.2495575221239,10.8513274336283,3.2424778761062,8264,3941,1031,342,9295,4283,4205,3098,18078,565,1,26.9722222222222,11.0277777777778,4.61111111111111,0.482694106641721,0.360881542699725,0.451815642458101,0.467877094972067,34.2361111111111,0.47688770571152,0.331716779825412,0.460785368477676,0.452393760086068,31.9964601769912,1,1,1,1,1,0,1,1,2016,7,1
Deron Williams,2008,2008-09,UTA,1610612762,FALSE,3,101114,RS,68,68,463,984,0.471,70,226,0.309734513274336,0.849,393,758,0.518469656992084,25,2505,326,384,24,171,195,725,73,20,228,134,1322,16.3360946745562,3.09940828402367,8.0698224852071,7668,3696,3296,1178,10964,4874,3502,2878,28865,845,1,19.4411764705882,2.86764705882353,10.6617647058824,0.518469656992084,0.309734513274336,0.470528455284553,0.390243902439024,36.8382352941176,0.482003129890454,0.357402912621359,0.444545786209413,0.319408974826706,34.1597633136095,1,0,1,1,0,1,1,1,2008,6,1
Deron Williams,2012,2012-13,BKN,1610612751,FALSE,7,101114,RS,78,78,495,1124,0.44,169,447,0.378076062639821,0.859,326,677,0.481536189069424,29,2842,317,369,29,203,232,604,75,30,218,194,1476,16.3360946745562,3.09940828402367,8.0698224852071,7668,3696,3296,1178,10964,4874,3502,2878,28865,845,1,18.9230769230769,2.97435897435897,7.74358974358974,0.481536189069424,0.378076062639821,0.440391459074733,0.328291814946619,36.4358974358974,0.482003129890454,0.357402912621359,0.444545786209413,0.319408974826706,34.1597633136095,1,0,0,0,1,0,1,1,2012,4,0
Draymond Green,2016,2016-17,GSW,1610612744,FALSE,4,203110,RS,76,76,272,650,0.418,81,263,0.307984790874525,0.709,191,387,0.493540051679587,27,2471,151,213,98,501,599,533,154,106,184,217,776,8.97569444444445,6.88541666666667,4.95659722222222,2675,1354,1632,521,4307,1875,1267,899,16201,576,1,10.2105263157895,7.88157894736842,7.01315789473684,0.493540051679587,0.307984790874525,0.418461538461538,0.327692307692308,32.5131578947368,0.506168224299065,0.319240196078431,0.435337822149988,0.294172277687486,28.1267361111111,1,1,1,0,0,0,1,1,2016,5,1
Dwight Howard,2008,2008-09,ORL,1610612753,FALSE,4,2730,RS,79,79,560,979,0.572,0,2,0,0.594,560,977,0.573183213920164,23,2821,504,849,336,757,1093,112,77,231,240,270,1624,16.8010849909584,12.3336347197107,1.42585895117541,11406,6716,68,9,11474,6725,9065,5123,37178,1106,1,20.5569620253165,13.8354430379747,1.41772151898734,0.573183213920164,0,0.572012257405516,0.867211440245148,35.7088607594937,0.588812905488339,0.132352941176471,0.586107721805822,0.790047062924874,33.6148282097649,1,1,0,0,0,0,1,1,2008,4,0
Dwyane Wade,2004,2004-05,MIA,1610612748,FALSE,1,2548,RS,77,77,630,1318,0.478,13,45,0.288888888888889,0.762,617,1273,0.484681853888452,23,2974,581,762,110,287,397,520,121,82,321,230,1854,21.9781783681214,4.68026565464896,5.40891840607211,15743,7905,1874,549,17617,8454,7463,5708,35777,1054,1,24.0779220779221,5.15584415584416,6.75324675324675,0.484681853888452,0.288888888888889,0.477996965098634,0.57814871016692,38.6233766233766,0.502127929873595,0.292956243329776,0.47987739115627,0.42362490775955,33.9440227703985,1,1,1,0,0,0,1,1,2004,5,1
Dwyane Wade,2008,2008-09,MIA,1610612748,FALSE,5,2548,RS,79,79,854,1739,0.491,88,278,0.316546762589928,0.765,766,1461,0.524298425735798,27,3048,590,771,89,309,398,589,173,106,272,178,2386,21.9781783681214,4.68026565464896,5.40891840607211,15743,7905,1874,549,17617,8454,7463,5708,35777,1054,1,30.2025316455696,5.0379746835443,7.45569620253165,0.524298425735798,0.316546762589928,0.491086831512364,0.44335825186889,38.5822784810127,0.502127929873595,0.292956243329776,0.47987739115627,0.42362490775955,33.9440227703985,1,1,1,1,1,1,1,1,2008,8,1
Emeka Okafor,2004,2004-05,CHA,1610612766,TRUE,0,2731,RS,73,73,448,1003,0.447,0,1,0,0.609,448,1002,0.447105788423154,22,2598,209,343,275,520,795,64,62,125,125,214,1105,11.9642857142857,9.68668831168831,0.844155844155844,5865,3004,2,0,5867,3004,2325,1362,19053,616,1,15.1369863013699,10.8904109589041,0.876712328767123,0.447105788423154,0,0.446660019940179,0.3419740777667,35.5890410958904,0.512190963341858,0,0.512016362706664,0.396284302028294,30.9301948051948,1,1,1,0,1,0,0,1,2004,5,1
